site_class	n	brain_retained_n	psi_count_ge10_median	psi_count_ge10_q1	psi_count_ge10_q3	psi_count_ge10_na	psi_count_ge10_brain_median	psi_count_ge10_brain_q1	psi_count_ge10_brain_q3	psi_count_ge10_brain_na	intron_length_median	intron_length_q1	intron_length_q3	intron_length_na	intron_gc_median	intron_gc_q1	intron_gc_q3	intron_gc_na	site_gc_49nt_median	site_gc_49nt_q1	site_gc_49nt_q3	site_gc_49nt_na	SpliceAI_score_median	SpliceAI_score_q1	SpliceAI_score_q3	SpliceAI_score_na	decoy_distance_from_canonical_5ss_median	decoy_distance_from_canonical_5ss_q1	decoy_distance_from_canonical_5ss_q3	decoy_distance_from_canonical_5ss_na	MaxEnt_decoy_median	MaxEnt_decoy_q1	MaxEnt_decoy_q3	MaxEnt_decoy_na	MaxEnt_canonical_median	MaxEnt_canonical_q1	MaxEnt_canonical_q3	MaxEnt_canonical_na	phastCons100_mean_median	phastCons100_mean_q1	phastCons100_mean_q3	phastCons100_mean_na	phastCons470_mean_median	phastCons470_mean_q1	phastCons470_mean_q3	phastCons470_mean_na
cryptic_supported	17721	9009	18	9	34	0	3	1	6	0	3268	1669	5854	0	0.465986	0.409722	0.526031	0	0.489796	0.408163	0.571429	0	0.163785	0.125061	0.231725	0	1417	574	3185	0	8.72	7.54	9.73	0	-7.84	-22.93	8.88	0	0.0431331	0.0245178	0.073761	0	0.0454471	0.0226802	0.0828585	0
decoy	6497	3568	20	9	41	0	3	1	8	0	2899	1609	4948	0	0.419118	0.378499	0.480334	0	0.44898	0.387755	0.530612	0	0.192353	0.137147	0.285119	0	1234	541	2615	0	9.49	8.55	10.36	0	-6.58	-22.6	8.68	0	0.0493569	0.0289441	0.0803812	0	0.0555073	0.0286621	0.0968197	0
