merged_track	flow_sample_name	flow_sample_id	purification_target	assay	species	cell_type	condition	source_file	file_size_bytes	total_reads	uniquely_mapped	crosslink_reads	unique_crosslink_positions	organisation	pi	geo_accession	flow_project
PRPF8_merged.xl.bed	PRPF8_HepG2_1	551282822535143521	PRPF8	eCLIP	Human	HepG2	none	PRPF8_HepG2_1_R1.genome.xl.bed	123126693	10680049	7041604	5892130	4590737	ENCODE	Gene Yeo	GSM2423051	RBP ENCODE Data
PRPF8_merged.xl.bed	PRPF8_HepG2_2	621052975040747699	PRPF8	eCLIP	Human	HepG2	none	PRPF8_HepG2_2_R1.genome.xl.bed	110972813	13241676	7764590	5950162	4135081	ENCODE	Gene Yeo	GSM2423052	RBP ENCODE Data
PRPF8_merged.xl.bed	PRPF8_K562_1	888745839832819110	PRPF8	eCLIP	Human	K562	none	PRPF8_K562_1_R1.genome.xl.bed	120880599	10200386	7052004	5210467	4499874	ENCODE	Gene Yeo	GSM2423630	RBP ENCODE Data
PRPF8_merged.xl.bed	PRPF8_K562_2	220547243888263689	PRPF8	eCLIP	Human	K562	none	PRPF8_K562_2_R1.genome.xl.bed	148646859	13135274	9102719	6537081	5533700	ENCODE	Gene Yeo	GSM2423631	RBP ENCODE Data
SmB_merged.xl.bed	SNRPB_Hs_HEK293_mildLysis_1_20190213	812226311813244205	SNRPB	iCLIP	Human	HEK293	none	SNRPB_Hs_HEK293_mildLysis_1_20190213_R1.genome.xl.bed	53525711	7212013	2832496	2188070	1994293	Department for Neuromuscular Diseases, UCL	Jernej Ule		A systems view of spliceosomal assembly and branchpoints with iCLIP
SmB_merged.xl.bed	SNRPB_Hs_HEK293_mildLysis_2_20190213	852520652246635102	SNRPB	iCLIP	Human	HEK293	none	SNRPB_Hs_HEK293_mildLysis_2_20190213_R1.genome.xl.bed	28314456	3780267	1476178	1145808	1055155	Department for Neuromuscular Diseases, UCL	Jernej Ule		A systems view of spliceosomal assembly and branchpoints with iCLIP
SmB_merged.xl.bed	SNRPB_Hs_HEK293_mildLysis_3_20190213	353295155787316369	SNRPB	iCLIP	Human	HEK293	none	SNRPB_Hs_HEK293_mildLysis_3_20190213_R1.genome.xl.bed	37226131	5244329	1978863	1508354	1387161	Department for Neuromuscular Diseases, UCL	Jernej Ule		A systems view of spliceosomal assembly and branchpoints with iCLIP
SmB_merged.xl.bed	SNRPB_Hs_HEPG2_mildLysis_1_20190213	869137371037054383	SNRPB	iCLIP	Human	HepG2	none	SNRPB_Hs_HEPG2_mildLysis_1_20190213_R1.genome.xl.bed	65777430	8514692	3220121	2746125	2449277	Department for Neuromuscular Diseases, UCL	Jernej Ule		A systems view of spliceosomal assembly and branchpoints with iCLIP
SmB_merged.xl.bed	SNRPB_Hs_HEPG2_mildLysis_2_20190213	708342906130026562	SNRPB	iCLIP	Human	HepG2	none	SNRPB_Hs_HEPG2_mildLysis_2_20190213_R1.genome.xl.bed	31345987	4122689	1522294	1276857	1167592	Department for Neuromuscular Diseases, UCL	Jernej Ule		A systems view of spliceosomal assembly and branchpoints with iCLIP
SmB_merged.xl.bed	SNRPB_Hs_K562_mildLysis_1_20190213	144230575636534160	SNRPB	iCLIP	Human	K562	none	SNRPB_Hs_K562_mildLysis_1_20190213_R1.genome.xl.bed	99271836	16887363	6822262	4372583	3692152	Department for Neuromuscular Diseases, UCL	Jernej Ule		A systems view of spliceosomal assembly and branchpoints with iCLIP
SmB_merged.xl.bed	SNRPB_Hs_K562_mildLysis_2_20190213	909083534925809141	SNRPB	iCLIP	Human	K562	none	SNRPB_Hs_K562_mildLysis_2_20190213_R1.genome.xl.bed	54579854	7116098	3234365	2355036	2030141	Department for Neuromuscular Diseases, UCL	Jernej Ule		A systems view of spliceosomal assembly and branchpoints with iCLIP
SmB_merged.xl.bed	SNRPB_Hs_K562_mildLysis_3_20190213	739059029356943732	SNRPB	iCLIP	Human	K562	none	SNRPB_Hs_K562_mildLysis_3_20190213_R1.genome.xl.bed	20598676	5054548	1265282	884121	766816	Department for Neuromuscular Diseases, UCL	Jernej Ule		A systems view of spliceosomal assembly and branchpoints with iCLIP
