feature	decoy_median	cryptic_median	cliffs_delta	ci_low	ci_high	mwu_p	p_bh
intron_gc	0.419118	0.465986	-0.2788143281211418	-0.2946873002560501	-0.26372216632616147	4.343579448279883e-243	2.3889686965539355e-242
site_gc_49nt	0.44898	0.489796	-0.17830978876257186	-0.19420204028308502	-0.16395755514321625	6.627879008372595e-101	2.4302223030699517e-100
intron_length	2899.0	3268.0	-0.07477795071639415	-0.08952680251941274	-0.06071120044058139	4.256029098585725e-19	6.688045726348997e-19
decoy_distance_from_canonical_5ss	1234.0	1417.0	-0.06431555093378383	-0.07960576505308799	-0.05010081419771582	1.5826026692584262e-14	1.9342921513158544e-14
MaxEnt_canonical	-6.58	-7.84	-0.011119055812653156	-0.024744340338194174	0.004375839901174749	0.18422354782679162	0.18422354782679162
psi_count_ge10_brain	3.0	3.0	0.061569204756047435	0.04712613906083525	0.07725096533074513	1.268478859121557e-13	1.3953267450337128e-13
psi_count_ge10	20.0	18.0	0.06462751097017194	0.04846588199732274	0.08141346302678606	1.1670050460221586e-14	1.604631938280468e-14
phastCons100_mean	0.0493569	0.0431331	0.08894905043879686	0.07399769603655283	0.10361193126887304	2.343504182475849e-26	4.296424334539056e-26
phastCons470_mean	0.0555073	0.0454471	0.11610362687568077	0.10220011059872261	0.1304918585396339	1.0281582841941879e-43	2.2619482252272136e-43
SpliceAI_score	0.192353	0.163785	0.17086823428039777	0.15265440517024184	0.18652425665383088	1.4983733283950026e-92	4.1205266530862574e-92
MaxEnt_decoy	9.49	8.72	0.2855032422103774	0.26963195507831067	0.3018731021406944	8.322968350179277e-255	9.155265185197205e-254
